text,label
It is ' www . job . com,0
I'm looking for a pair of shoes .,0
"Yes , I can bring the outline when I come to the meeting .",0
leave your work aside so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press one and you will be connected to the concerned department. If we don't hear from you then we will be forced to take legal action against you. Press one and you will be connected to the concerned department.,1
"Dear customer, this is Marni from Amazon. We have noticed some fraudulent activities on your Amazon account regarding some unauthorized charge of $1,500 from unknown IP address coming from Albany, New York. Kindly press 1 to talk to our Amazon security department. Thank you.",1
The company deals in selling electronics .,0
URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,1
"We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",1
What do you mean by that ? Everyone can exercise !,0
your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process.,1
Alright . Do you have your receipt ?,0
"A pre-authorized purchase of an Apple MacBook Pro and an Apple AirPods is being ordered from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representative, please press 1.",1
No my mum went 2 dentist.,0
( at the dance ) That band is playing good music . Shall we dance ?,0
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,1
A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,1
Have you ever climbed the mountain before ?,0
"Oh , I ’ m too lazy to play sports , and I ’ m not good at anything either . It hardly excites me .",0
"Hello, this call is from Department of Federal Reserve System. The reason of this particular phone call is we are going to suspend your bank account, because we have a found some suspicious activity so, if you want to know about this case just, press 1 and talk to a officer regarding this case.",1
"been seized under your name by U.S. Customs and Border Protection with contraband of drugs and cash. So the moment you receive this call, press 1 to speak with a CBP officer. I repeat press 1 to speak with CBP officer. Thank you.",1
What's that ?,0
From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more,1
"This call is from the Department of Social Security Administration. The reason you are receiving this phone call is to inform that we will be suspending your Social Security number because we found some suspicious activities on your Social Security. If you want more information about this case, press 1. Thank you. Goodbye.",1
What do you mean ?,0
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,1
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,1
"Hi, this is Emma with the Processing Center. I was giving you a quick call because I am reviewing your student loan profile. And as you know, there have been some pretty big changes to the federal student loan programs recently. When you have a moment, give me a call back. I would like to discuss your possible options with you while the programs are still available. It's urgent that you return my call prior to when payments resume. If you could please call me at 866-758-1276 to complete your application and finalize your enrollment as soon as possible. Again, that's 866-758-1276. Please have your reference number ready. Your reference number is SL-367. I look forward to hearing from you soon and I hope you have a great day. Thank you.",1
I'm just glad there were no complications .,0
Thanks for your help .,0
Is uncle Bill your brother ?,0
"from your Amazon account for an amount of $1,537.35. To cancel your order or to connect with one of our customer support representatives, please press 1.",1
"Eight rooms , a roomy kitchen , two modem bathrooms , a lovely dining room , a gorgeous living room and three sweet bedrooms . All are built with first-rate materials .",0
"I never thought about that , but you're right . What do you think we should do ?",0
Where is Pamela ?,0
That was last time . This time it's worse .,0
"Oh , how could it be ?",0
"is to be an error or would like to stop the interruption, please press 1 to start your claim. Otherwise, please press 2 to speak with the billing department.",1
That's right .,0
"Hey , Jeff , where's your stereo ?",0
I don't think so . Why ?,0
Security Administration. The reason you receive this phone call from our department is to inform you that there is a legal enforcement action filed on your social security number for fraudulent activities. So when you get this message kindly press 1 to connect with the next available officer. Thank you.,1
"So , do you think workers should be paid as little as possible ?",0
"Indeed , they are . Keeping staff happy is the only way to keep them with the company .",0
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",1
for suspicious and fraudulent activities carried on using your identity. The court has issued a suspension notice along with a warrant against your name. Ignoring this message will an intentional second attempt to avoid initial appearance before a magistrate judge or grand jury for federal criminal offense. This is the final attempt to reach you. For more information press 1 and hold for the next available officer. Press 1 right now.,1
"activities related to your name, we are trying to reach you, but unfortunately we missed your answer. In order to connect our legal department, press 1. So that we can discuss about your case file and take necessary action on this matter. In case we would not hear from you, then you will face some legal consequences. To connect now press 1, and you will be automatically connect to the concerned department. By this call, you have been officially notified. Thank you.",1
"Administration to inform you that, due to some suspicious activities related to your Social Security number, we are forced to suspend your Social Security number with immediate effect. In case you feel this is an error, you may connect to the Legal Department of Social Security Administration. In order to connect a Social Security Administration officer, press 1. In case we do not hear from you, your Social will be blocked permanently. To connect now, press 1, and you will be automatically connected to the Concerned Department.",1
What are you going to get ?,0
Isn't your family name Lin ?,0
"Hello. This is an important call from Amazon customer support. This is to notify you regarding your today's purchase on Amazon.com. You have been charged $1,279.99 on your default card saved on Amazon.com. If you have not made any such transaction, then please press 1 to cancel your order. Else if you have made this purchase on Amazon.com and recognize it, then please press 2 to confirm your order. Or to talk to our customer care please press 3. To repeat this message please press 4. Thank you.",1
"Hello, you have been contacted by the cancellation department regarding a purchase on your account for MacBook Pro and AirPods. We would like to inform you that this order has been placed from your account. If you don't authorize this order then press 1 to speak to our representative.",1
"you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",1
"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",1
