text,label
"! we are on the lookout for individuals with a flair for sales. our affiliate marketing initiative involves purchasing specific products in advance, resulting in boosted sales and substantial commissions. this is a win-win situation. would you like more details?",1
", this is cafe. we would love to invite you to our upcoming live music night on . there will be local artists, food specials, and cozy vibes. will you be joining us?",0
", it is me. i am in trouble, and i need money for bail. please do not tell mom or dad. i will get in so much trouble. hurry, . a lawyer is going to call you. please help me! this is your s lawyer. he is in a lot of trouble. the only way he can get out of jail is if you pay.",1
", this is from online academy. you expressed interest in our course. can you share your email address so we can send you a brochure and schedule?",0
", this is . i got your message about needing help with the presentation. i would be happy to go through it with you and offer feedback. want to hop on a call later today?",0
", this is . i hope everything is going well with your studies. i remember you mentioned a big project due this week. let me know if you need someone to proofread or bounce ideas with.",0
", this is hr. we would like your feedback on your recent internal training on . your insights help improve our programs. the survey link is in your inbox.",0
", this is . have you seen the news about ? thought of you instantlyit is exactly what you were looking for. want to talk about it?",0
"! greetings from the chinese new year tech extravaganza! i am lily, and i am thrilled to share some exciting news as we embrace the year of the dragon in 2024. this is a year of power, prosperity, and incredible opportunities! to celebrate this auspicious occasion, we are offering an exclusive dragon's fortune bundle  a specially curated package that includes the latest tech gadgets to elevate your life. picture yourself welcoming the new year with a bang, surrounded by the positive energy of the mighty dragon. as a token of good fortune, the first customers to order our dragon's fortune bundle will not only receive a stunning dragon-themed smartphone case but also enjoy an amazing discount on the the pinnacle of technological sophistication! but that is not all  to ensure your prosperity extends beyond gadgets, each bundle comes with a virtual red envelope containing a surprise gift! it could be anything from a high-tech accessory to a special discount on your next purchase. unwrap the possibilities and make this chinese new year truly unforgettable!",1
", this is . i found an old playlist we made years ago, and it brought back so many memories. let us make a new one togetherfor our next road trip?",0
", this is . i just got my results from the course i took, and i am pretty happy with how it turned out. thought i would share it with you since you encouraged me to enroll in the first place.",0
", this is . i saw a new released by and immediately thought of you. i know you have been looking for something similar. want to check it out together?",0
", it is . i wanted to let you know the team appreciated your help last week. we are planning a casual dinner on can you make it?",0
", this is . we are doing a virtual jam session this , and we would love to have your voice in the mix. even if you just listen in, it will be fun. can i send you the link?",0
", this is from energy services. you had a query about your recent electricity bill. kindly share your account number so we can assist you further.",0
", this is from school. you showed interest in our preschool program. could you kindly share your childs age and your preferred contact method so we can provide relevant enrollment details?",0
"excellent, . as we proceed, we advise applying for a personal loan of . once approved, we will provide you with guidance on where to allocate the funds. perfect, . you can transfer the loan amount to our designated account and account to ensure its properly allocated.",1
", this is medical clinic. we are calling to confirm your appointment on at with . if you need assistance with transportation or rescheduling, let us knowwe are happy to help.",0
"unbelievable news! stumble upon an exclusive cryptocurrency investment opportunity. massive profits, virtually no risk! i have already made a fortune. click here to join immediately . emergency! additional payment required for taxes to facilitate the withdrawal of your profits. transfer funds urgently.",1
